title,year,doi,url,citationCount,cited_by
TsHD1 and TsNAC1 cooperatively play roles in plant growth and abiotic stress resistance of Thellungiella halophile.,2019,,https://www.semanticscholar.org/paper/e694f662f160b27d7798817209fa4cc6ce779123,,
"Initial Description of the Genome of Aeluropus littoralis, a Halophile Grass",2020,,https://www.semanticscholar.org/paper/a50c5271b28509605ad878d696e6e11943c8aed4,,
Reaumuria vermiculata: Plante gypso-halophyte,2014,,https://www.semanticscholar.org/paper/576b7c1572f6b63065e20f159e574fa585d67884,,
Increased content of very-long-chain fatty acids in the lipids of halophyte vegetative organs,2009,,https://www.semanticscholar.org/paper/0aadd65a97d2508022220874b2bd9cab9ee87b18,,
HALOPHILE VEGETATION OF THE SLOVENIAN SEACOAST: THERO-SALICORNIETEA AND SPARTINETEA MARITIMAE,2006,,https://www.semanticscholar.org/paper/a8b8a2f0aad1c371f56ac925aef724b773c56a69,,
"Plantago cornuti Gouan, a rare halophyte: sites from Transylvanian Depression (Romania).",2010,,https://www.semanticscholar.org/paper/6f397923a80e739649f7d9a6a9fc0c7e355f4d4f,,
Comportement auto-écologique de Halopeplis amplexicaulis : plante pionnière des sebkhas de l’Ouest algérien,2000,,https://www.semanticscholar.org/paper/3bbfdafeedf354e52539130f12477f749a32ec22,,
"Autecological behaviour of Halopeplis amplexicaulis, a pioneer plant of inland salt lakes in western Algeria",2000,,https://www.semanticscholar.org/paper/22ccad0b781b2f423a7e049e42ac3393d27d23bc,,
Halofitna vegetacija ob slovenski morski obali: Thero-Salicornietea in Spartinetea maritimae,2006,,https://www.semanticscholar.org/paper/6ab43d625805d8e9bef8368440e1346c5d500d02,,
Hikarchaeia demonstrate an intermediate stage in the methanogen-to-halophile transition,2020,,https://www.semanticscholar.org/paper/159c83df8abdaef5e08e1143921053e6d9f16a1f,,
Adaptive strategies of dimorphic seeds of the desert halophyte Suaeda corniculata in saline habitat: Adaptive strategies of dimorphic seeds of the desert halophyte Suaeda corniculata in saline habitat,2013,,https://www.semanticscholar.org/paper/18b9184888784110bf2f48895e1fc1627fa44f2f,,
Aromatic compounds depurative and plant growth promotion rhizobacteria abilities of Allenrolfea vaginata (Amaranthaceae) rhizosphere microbial communities from a solar saltern hypersaline soil,2023,,https://www.semanticscholar.org/paper/e441a80c73076283c1c275d792cec47c79df4728,,
Unlocking the in vitro anti-inflammatory and antidiabetic potential of Polygonum maritimum,2017,,https://www.semanticscholar.org/paper/fb0f2a46f837fc26a99840506dd9f5ca11c54c4b,,
Microbial Approach for Bioremediation of Saline and Sodic Soils,2017,,https://www.semanticscholar.org/paper/5bf63044ad01cf469ddb9dacee88c1d5c3d8e831,,
Non-halophilic endophytes associated with the euhalophyte Arthrocnemum macrostachyum and their plant growth promoting activity potential.,2018,,https://www.semanticscholar.org/paper/16423f3f0c23aa057cf3a0e593a0330219e0e9c8,,
"European salt marshes diversity and functioning: The case study of the Mont Saint-Michel bay, France",2000,,https://www.semanticscholar.org/paper/293bb4f299febfb520a0c9e85465967199746695,,
"Análisis de la vegetación y del polen actual en la cuenca inferior del Río Colorado, sudoeste de la Provincia de Buenos Aires, Argentina",2016,,https://www.semanticscholar.org/paper/14180ff9d78846714d086ae54f9d7ab952fde7bd,,
"LA LIMITE SLIKKE/SCHORRE DANS LA BAIE DU MONT SAINT-MICHEL (GOLFE NORMAND BRETON, NO FRANCE)",2008,,https://www.semanticscholar.org/paper/dbcae2f09ee9be2b33eaf5207699e6135d13710e,,
Solutes compatibles des halophytes littorales : production et possibilite de transfert vers les procaryotes associes (baie du mont saint michel),1998,,https://www.semanticscholar.org/paper/e337fee50744775f79ce0fe52f2d2be0eca81d21,,
Exploring Halophiles for Reclamation of Saline Soils: Biotechnological Interventions for Sustainable Agriculture,2025,,https://www.semanticscholar.org/paper/bd26e1aed6239041d387efe072ec3367c4b8ce8b,,
NaCl Modifies Biochemical Traits in Bacterial Endophytes Isolated from Halophytes: Towards Salinity Stress Mitigation Using Consortia,2024,,https://www.semanticscholar.org/paper/37b7c03ab999343e3f10b46dedce66813305773b,,
Halophiles and their adaptations: A comprehensive review on recent progress and prospects in biodesalination applications,2024,,https://www.semanticscholar.org/paper/6f78dba172c0d5928b9b38cf0c922fce928f7a45,,
The most important natural plant species in the Middle Euphrates Basin and their importance in agroforestry systems,2024,,https://www.semanticscholar.org/paper/10c9e352c06c2464419247528ecd1f54cca60e75,,
Spatio-temporal modelling for the evaluation of an altered Indian saline Ramsar site and its drivers for ecosystem management and restoration,2021,,https://www.semanticscholar.org/paper/3647d9abfe343fe41089feb07616978e43a3cc53,,
Contrasting oxygen dynamics in Limonium narbonense and Sarcocornia fruticosa during partial and complete submergence.,2017,,https://www.semanticscholar.org/paper/8aa27835e4ea3b528304c49c2825ff6919936ad4,,
Effects of combined tannic acid/fluoride on sulfur transformations and methanogenic pathways in swine manure,2021,,https://www.semanticscholar.org/paper/385a18f0f3d2fcd2784ac47d12eceeee71436409,,
Phosphate: a neglected argument in studies of ancient glass technology,2017,,https://www.semanticscholar.org/paper/08fa1542e7321a3f042a6c34e375eceea20de50d,,
Edaphic characterization of coastal Western Mediterranean,2018,,https://www.semanticscholar.org/paper/c7c73348f974bb2992716ea7b0e0b59cf0f0fdea,,
Potential Biotechnological Applications of Products from the Haloarchaeon,2017,,https://www.semanticscholar.org/paper/64086ed7b0710f517d9beb4bdcf78e605db6e626,,
Floristic Diversity of Atriplexaies in Western Algeria,2016,,https://www.semanticscholar.org/paper/00b6236c100b71ab8a5d661a9d7ff56ba565369e,,
Production et devenir de la matière organique des halophytes dans un marais salé européen en système macrodital (Baie du Mont Saint-Michel,1996,,https://www.semanticscholar.org/paper/b4f6b381bd54566c842fef35fb499b188ef75c0a,,
Biodiversity of inland saltscapes of the Iberian Peninsula,2009,,https://www.semanticscholar.org/paper/8c31f66092e117239008bcf29d9874aab3448646,,
Caractères Écologiques et Floristiques de deux Stations Halophiles d'Afghanistan,1970,,https://www.semanticscholar.org/paper/1fe4a1573ebd5182f0a553a49cdb3d96faf1f203,,
Zonation and succession in brackish environments of the Eastern Adriatic,1974,,https://www.semanticscholar.org/paper/2d284d8dfe4fb136ee60195f377d02bb45df9ab2,,
